,Kingdom,Phylum,Class,Order,Family,Genus
ASV3368,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3369,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
ASV3370,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
ASV3371,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV3372,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
ASV3373,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,NA
ASV3374,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV3375,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
ASV3376,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV3377,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV3378,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV3379,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3380,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3381,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3382,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA
ASV3383,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3384,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3385,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes
ASV3386,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV3387,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
ASV3388,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3389,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA
ASV3390,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3391,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV3392,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV3393,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
ASV3394,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3395,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
ASV3396,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3397,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter
ASV3398,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
ASV3399,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV3400,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV3401,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
ASV3402,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV3403,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,Acidibacter
ASV3404,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV3405,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV3406,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV3407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes
