,Kingdom,Phylum,Class,Order,Family,Genus
ASV1,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV2,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA
ASV3,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Heliobacteriaceae,NA
ASV4,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV5,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera
ASV6,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV7,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV8,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA,NA
ASV9,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA
ASV10,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
ASV11,Bacteria,NB1-j,NA,NA,NA,NA
ASV12,Bacteria,Acidobacteriota,Subgroup_5,NA,NA,NA
ASV13,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV14,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA
ASV15,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV16,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina
ASV17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga
ASV18,Bacteria,Acidobacteriota,Subgroup_5,NA,NA,NA
ASV19,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
ASV20,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
ASV21,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1
ASV22,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA
ASV23,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA
ASV24,Archaea,Halobacterota,Methanocellia,Methanocellales,Methanocellaceae,Rice_Cluster_I
ASV25,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora
ASV26,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA
ASV27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA
ASV28,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura
ASV29,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus
ASV30,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,NA
ASV31,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV32,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV33,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,NA,NA
ASV34,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA
ASV35,Bacteria,Acidobacteriota,Subgroup_18,NA,NA,NA
ASV36,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1
ASV37,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV38,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus
ASV39,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA
ASV40,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus_Xiphinematobacter
ASV41,Bacteria,Sva0485,NA,NA,NA,NA
ASV42,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Thermosporothrix
ASV43,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA
ASV44,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV45,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV46,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV47,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
ASV48,Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA
ASV49,Bacteria,Chloroflexi,TK10,NA,NA,NA
ASV50,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV51,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia
ASV52,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA
ASV53,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter
ASV54,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA
ASV55,Bacteria,Desulfobacterota,NA,NA,NA,NA
ASV56,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax
ASV57,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV58,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,NA
ASV59,Bacteria,Acidobacteriota,Subgroup_18,NA,NA,NA
ASV60,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA
ASV61,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,UTCFX1
ASV62,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
ASV63,Bacteria,MBNT15,NA,NA,NA,NA
ASV64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter
ASV65,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella
ASV66,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA
ASV67,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV68,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
ASV69,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV70,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV71,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA
ASV72,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter
ASV73,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,NA
ASV74,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA
ASV75,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,NA,NA
ASV76,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV77,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV78,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV79,Bacteria,Actinobacteriota,Acidimicrobiia,NA,NA,NA
ASV80,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV81,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,NA
ASV82,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV83,Bacteria,Proteobacteria,Gammaproteobacteria,Nitrosococcales,Nitrosococcaceae,NA
ASV84,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV85,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium
ASV86,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV87,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067
ASV88,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,Elsteraceae,NA
ASV89,Archaea,Halobacterota,Methanocellia,Methanocellales,Methanocellaceae,Methanocella
ASV90,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,NA
ASV91,Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA
ASV92,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV93,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV94,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA
ASV95,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,NA
ASV96,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,NA
ASV97,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV98,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV99,Bacteria,Firmicutes,Limnochordia,Limnochordia_or,Limnochordia_fa,Hydrogenispora
ASV100,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,WX65,NA
ASV101,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,NA
ASV102,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Agromyces
ASV103,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV104,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV105,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,NA
ASV106,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
ASV107,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV108,Bacteria,Chloroflexi,Gitt-GS-136,NA,NA,NA
ASV109,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA
ASV110,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
ASV111,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV112,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA
ASV113,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV114,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
ASV115,Bacteria,Actinobacteriota,NA,NA,NA,NA
ASV116,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA
ASV117,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV118,Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA
ASV119,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus
ASV120,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV121,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylobacter
ASV122,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina
ASV123,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV124,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA
ASV125,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinophytocola
ASV126,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA
ASV127,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,NA
ASV128,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV129,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus
ASV130,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV131,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga
ASV132,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,NA
ASV133,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Sporomusa
ASV134,Bacteria,Chloroflexi,SHA-26,NA,NA,NA
ASV135,Bacteria,MBNT15,NA,NA,NA,NA
ASV136,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV137,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Udaeobacter
ASV138,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,UTCFX1
ASV139,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV140,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata
ASV141,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV142,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV143,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes
ASV144,Bacteria,NB1-j,NA,NA,NA,NA
ASV145,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus
ASV146,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV147,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV148,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV149,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,NA
ASV150,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans
ASV151,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV152,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Arsenicitalea
ASV153,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
ASV154,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV155,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,NA
ASV156,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,NA,NA
ASV157,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA
ASV158,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA
ASV159,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Polyangium
ASV160,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1
ASV161,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,NA
ASV162,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,NA,NA
ASV163,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
ASV164,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1
ASV165,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_8
ASV166,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV167,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV168,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA
ASV169,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,NA,NA
ASV170,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira
ASV171,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus
ASV172,Bacteria,Gemmatimonadota,Longimicrobia,Longimicrobiales,Longimicrobiaceae,YC-ZSS-LKJ147
ASV173,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Singulisphaera
ASV174,Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA
ASV175,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
ASV176,Archaea,Halobacterota,Methanocellia,Methanocellales,Methanocellaceae,Methanocella
ASV177,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA
ASV178,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV179,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
ASV180,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV181,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
ASV182,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV183,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter
ASV184,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV185,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV186,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
ASV187,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV188,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV189,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02
ASV190,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV191,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV192,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV193,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Iamiaceae,Iamia
ASV194,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylosarcina
ASV195,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV196,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,NA
ASV197,Bacteria,Chloroflexi,TK10,NA,NA,NA
ASV198,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus
ASV199,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans
ASV200,Bacteria,Desulfobacterota,NA,NA,NA,NA
ASV201,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV202,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA
ASV203,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV204,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,NA
ASV205,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
ASV206,Bacteria,Desulfobacterota,NA,NA,NA,NA
ASV207,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA
ASV208,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,Gemmata
ASV209,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA
ASV210,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV211,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
ASV212,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,NA
ASV213,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
ASV214,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV215,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Candidatus_Koribacter
ASV216,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus
ASV217,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
ASV218,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum
ASV219,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter
ASV220,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter
ASV221,Bacteria,Acidobacteriota,Blastocatellia,11-24,NA,NA
ASV222,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus
ASV223,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA
ASV224,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA
ASV225,Bacteria,Desulfobacterota,NA,NA,NA,NA
ASV226,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Luedemannella
ASV227,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA
ASV228,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA
ASV229,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
ASV230,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Thermomonosporaceae,NA
ASV231,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,NA,NA
ASV232,Bacteria,Desulfobacterota,NA,NA,NA,NA
ASV233,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV234,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanosaeta
ASV235,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV236,Bacteria,Actinobacteriota,Rubrobacteria,Rubrobacterales,Rubrobacteriaceae,Rubrobacter
ASV237,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax
ASV238,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV239,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA
ASV240,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,NA
ASV241,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA
ASV242,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
ASV243,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA
ASV244,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus
ASV245,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,NA,NA
ASV246,Bacteria,NB1-j,NA,NA,NA,NA
ASV247,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV248,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV249,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia
ASV250,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Hamadaea
ASV251,Bacteria,Latescibacterota,NA,NA,NA,NA
ASV252,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
ASV253,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,NA
ASV254,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA
ASV255,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter
ASV256,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV257,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV258,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
ASV259,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,NA
ASV260,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1
ASV261,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA
ASV262,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV263,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA
ASV264,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7
ASV265,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
ASV266,Bacteria,Actinobacteriota,Actinobacteria,NA,NA,NA
ASV267,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Tellurimicrobium
ASV268,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_8
ASV269,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Fonticella
ASV270,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA
ASV271,Bacteria,Methylomirabilota,Methylomirabilia,Methylomirabilales,Methylomirabilaceae,Sh765B-TzT-35
ASV272,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Candidatus_Koribacter
ASV273,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter
ASV274,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
ASV275,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA
ASV276,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV277,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV278,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA
ASV279,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter
ASV280,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina
ASV281,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA
ASV282,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium
ASV283,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA
ASV284,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanoperedenaceae,Candidatus_Methanoperedens
ASV285,Bacteria,Myxococcota,bacteriap25,NA,NA,NA
ASV286,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,NA
ASV287,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA
ASV288,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides
